,Nation,Total Co2
65,AFGHANISTAN,9817.25
147,ALBANIA,5721.53
252,ALGERIA,145519.16999999998
277,ANDORRA,462.42
342,ANGOLA,34791.6
367,ANGUILLA,143.13
446,ANTIGUA & BARBUDA,532.15
574,ARGENTINA,204191.46
597,ARMENIA,5534.36
626,ARUBA,873.46
790,AUSTRALIA,361557.39
987,AUSTRIA,58760.369999999995
1010,AZERBAIJAN,37518.409999999996
1075,BAHAMAS,2418.5299999999997
1157,BAHRAIN,31363.82
1200,BANGLADESH,73249.53
1287,BARBADOS,1273.49
1310,BELARUS,63549.72
1496,BELGIUM,93427.19
1561,BELIZE,495.45
1618,BENIN,6323.41
1683,BERMUDA,576.1899999999999
1728,BHUTAN,1001.91
1731,"BONAIRE, SAINT EUSTATIUS, AND SABA",322.96
1754,BOSNIA & HERZEGOVINA,22251.21
1797,BOTSWANA,7039.0599999999995
1911,BRAZIL,530241.6
1964,BRITISH VIRGIN ISLANDS,179.82999999999998
2049,BRUNEI (DARUSSALAM),9116.28
2185,BULGARIA,42450.89
2242,BURKINA FASO,2851.59
2295,BURUNDI,440.4
2355,CAMBODIA,6690.41
2585,CANADA,537632.98
2650,CAPE VERDE,491.78
2709,CAYMAN ISLANDS,543.16
2765,CENTRAL AFRICAN REPUBLIC,300.94
2821,CHAD,730.33
2941,CHILE,82630.05
3055,CHINA (MAINLAND),10300346.78
3163,COLOMBIA,84160.44
3219,COMOROS,154.14
3275,CONGO,3097.48
3321,COOK ISLANDS,69.73
3386,COSTA RICA,7765.72
3443,COTE D IVOIRE,11054.039999999999
3466,CROATIA,16856.31
3540,CUBA,34865.0
3543,CURACAO,5886.68
3608,CYPRUS,6066.51
3631,CZECH REPUBLIC,96554.03
3833,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,40560.84
3928,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),4675.58
4115,DENMARK,33525.45
4180,DJIBOUTI,722.99
4244,DOMINICA,135.79
4312,DOMINICAN REPUBLIC,21557.579999999998
4436,ECUADOR,43955.59
4540,EGYPT,202059.19
4605,EL SALVADOR,6290.38
4670,EQUATORIAL GUINEA,5350.86
4697,ERITREA,697.3
4732,ESTONIA,19535.41
4802,ETHIOPIA,11608.21
4867,FAEROE ISLANDS,598.21
4930,FALKLAND ISLANDS (MALVINAS),55.05
4999,FEDERATED STATES OF MICRONESIA,150.47
5071,FIJI,1170.73
5226,FINLAND,47339.33
5591,FRANCE (INCLUDING MONACO),303523.68
5665,FRENCH GUIANA,734.0
5751,FRENCH POLYNESIA,803.73
5816,GABON,5196.72
5881,GAMBIA,513.8
5904,GEORGIA,8995.17
6083,GERMANY,720472.38
6148,GHANA,14478.15
6213,GIBRALTAR,528.48
6347,GREECE,67373.86
6412,GREENLAND,506.46
6477,GRENADA,242.22
6542,GUADELOUPE,2569.0
6616,GUATEMALA,18342.66
6673,GUINEA,2451.56
6738,GUINEA BISSAU,271.58
6803,GUYANA,2011.1599999999999
6868,HAITI,2862.6
6933,HONDURAS,9479.61
7004,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,46260.35
7189,HUNGARY,42120.59
7265,ICELAND,1985.47
7411,INDIA,2240208.37
7537,INDONESIA,464555.94
7628,IRAQ,168581.44999999998
7732,IRELAND,34094.3
7844,ISLAMIC REPUBLIC OF IRAN,650012.0499999999
7929,ISRAEL,64654.39
8084,ITALY (INCLUDING SAN MARINO),320673.58999999997
8149,JAMAICA,7428.08
8214,JAPAN,1215041.58
8361,JORDAN,26471.71
8384,KAZAKHSTAN,248517.72
8449,KENYA,14298.32
8503,KIRIBATI,62.39
8572,KUWAIT,95486.06
8596,KYRGYZSTAN,9615.4
8656,LAO PEOPLE S DEMOCRATIC REPUBLIC,1956.11
8691,LATVIA,6980.34
8774,LEBANON,24089.88
8806,LESOTHO,2469.91
8871,LIBERIA,935.85
8936,LIBYAN ARAB JAMAHIRIYAH,57042.81
8944,LIECHTENSTEIN,44.04
8967,LITHUANIA,12848.67
9037,LUXEMBOURG,9666.78
9098,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1284.5
9121,MACEDONIA,7516.16
9193,MADAGASCAR,3079.13
9244,MALAWI,1277.16
9289,MALAYSIA,243020.06
9333,MALDIVES,1335.8799999999999
9389,MALI,1412.95
9454,MALTA,2348.8
9477,MARSHALL ISLANDS,102.75999999999999
9542,MARTINIQUE,2301.09
9598,MAURITANIA,2712.13
9663,MAURITIUS,4231.51
9787,MEXICO,480663.57
9852,MONGOLIA,20856.61
9861,MONTENEGRO,2213.0099999999998
9914,MONTSERRAT,47.71
10001,MOROCCO,59912.75
10089,MOZAMBIQUE,8433.66
10176,MYANMAR (FORMERLY BURMA),21649.329999999998
10200,NAMIBIA,3758.08
10251,NAURU,47.71
10316,NEPAL,8037.3
10570,NETHERLANDS,167440.08
10635,NEW CALEDONIA,4293.9
10772,NEW ZEALAND,34692.51
10845,NICARAGUA,4866.42
10902,NIGER,2128.6
11002,NIGERIA,96359.52
11047,NIUE,11.01
11230,NORWAY,47665.96
11255,OCCUPIED PALESTINIAN TERRITORY,2840.58
11306,OMAN,61219.27
11386,PAKISTAN,166434.5
11409,PALAU,260.57
11476,PANAMA,8808.0
11541,PAPUA NEW GUINEA,6323.41
11606,PARAGUAY,5706.849999999999
11810,PERU,61795.46
11915,PHILIPPINES,105740.04
12002,PLURINATIONAL STATE OF BOLIVIA,20427.22
12217,POLAND,285973.74
12362,PORTUGAL,45089.62
12429,QATAR,107942.04
12494,REPUBLIC OF CAMEROON,7009.7
12564,REPUBLIC OF KOREA,587636.73
12587,REPUBLIC OF MOLDOVA,4936.15
12590,REPUBLIC OF SOUTH SUDAN,1497.36
12608,REPUBLIC OF SUDAN,15377.3
12673,REUNION,4176.46
12845,ROMANIA,70060.3
12868,RUSSIAN FEDERATION,1706740.8399999999
12921,RWANDA,840.43
13009,SAINT HELENA,11.01
13074,SAINT LUCIA,407.37
13077,SAINT MARTIN (DUTCH PORTION),734.0
13142,SAMOA,198.18
13206,SAO TOME & PRINCIPE,113.77
13308,SAUDI ARABIA,601538.69
13365,SENEGAL,8863.05
13374,SERBIA,37698.24
13426,SEYCHELLES,495.45
13491,SIERRA LEONE,1310.19
13549,SINGAPORE,56418.909999999996
13572,SLOVAKIA,30703.22
13595,SLOVENIA,12822.98
13658,SOLOMON ISLANDS,201.85
13723,SOMALIA,609.22
13854,SOUTH AFRICA,490172.54
14039,SPAIN,234168.02
14104,SRI LANKA,18408.72
14138,ST. KITTS-NEVIS,231.21
14227,ST. PIERRE & MIQUELON,77.07
14292,ST. VINCENT & THE GRENADINES,209.19
14419,SURINAME,1992.81
14482,SWAZILAND,1203.76
14659,SWEDEN,43456.47
14816,SWITZERLAND,35334.76
14900,SYRIAN ARAB REPUBLIC,30728.91
15019,TAIWAN,264287.71
15042,TAJIKISTAN,5193.05
15143,THAILAND,316471.44
15156,TIMOR-LESTE (FORMERLY EAST TIMOR),469.76
15221,TOGO,2624.0499999999997
15286,TONGA,121.11
15393,TRINIDAD AND TOBAGO,46311.729999999996
15484,TUNISIA,28853.54
15634,TURKEY,346264.5
15657,TURKMENISTAN,68478.53
15682,TURKS AND CAICOS ISLANDS,205.51999999999998
15707,TUVALU,11.01
15772,UGANDA,5233.42
15795,UKRAINE,227484.94999999998
15851,UNITED ARAB EMIRATES,211542.47
16115,UNITED KINGDOM,420163.62
16196,UNITED REPUBLIC OF TANZANIA,11571.51
16411,UNITED STATES OF AMERICA,5258577.85
16494,URUGUAY,6752.8
16657,UZBEKISTAN,105299.64
16710,VANUATU,154.14
16814,VENEZUELA,185371.69999999998
16913,VIET NAM,167047.38999999998
16927,WALLIS AND FUTUNA ISLANDS,22.02
16951,YEMEN,22717.3
17113,ZAMBIA,4506.76
17231,ZIMBABWE,12030.26
